..\..\..\..\Data\DrawingStyleStudyData\User4\Final Circuits\0_EQ2_GatesOff_Iter1_Recognized2.xml
Total shapes, Correct shapes, Percent correct, Total AND, Correct AND, Total NAND, Correct NAND, Total OR, Correct OR, Total NOR, Correct NOR, Total XOR, Correct XOR, Total XNOR, Correct XNOR, Total NOT, Correct NOT, Total NotBubble, Correct NotBubble, Total SubCircuit, Correct SubCircuit, 
4,2,0.5,1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5,3,0.6,1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
6,3,0.5,1, 1, 0, 0, 2, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6,2,0.333333333333333,1, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4,2,0.5,1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
4,1,0.25,1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
8,5,0.625,2, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 
8,5,0.625,2, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 
6,3,0.5,2, 1, 0, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
6,5,0.833333333333333,2, 2, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
6,5,0.833333333333333,0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 3, 3, 0, 0, 0, 0, 
6,3,0.5,0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 
5,3,0.6,0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
5,5,1,0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
